,0,1,2,3,4,5
0,株式会社KANTOモータースクール | 年間休日115日＋有休消化ほぼ100％で【実質年休135日】!?,仕事内容:《働きながら国家資格が取得できる◎しかも手厚いサポート付き！》運転技能教習を中心に、お客様に運転スキルと交通ルールを教えるお仕事です。,対象となる方:【応募資格】◎高卒以上 ◎要普免(AT限定でもOK※1) ◎21歳以上(※2) ★コロナの影響で大好きな接客業を続けられなくなってしまったという方もぜひ！,勤務地:配属先は資格取得後に正式決定します。 ★全校徒歩、または送迎バスで10分圏内 ■横浜西口校 神奈川…,"給与:月給22万6000円 + 各種手当 ※国家資格を取得するまでの間は、 　時給1,015円になります。 ≪資格を取得…",初年度年収:380万円～420万円
1,エーアイアールグループ合同募集 | ★中途採用者活躍中★平均年齢29歳★残業少なめ★週休2日制,仕事内容:【100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★研修制度も充実 ★クリアな評価制度 ★ノルマなし,対象となる方:【応募条件を満たす方は全員面接確約！】◆未経験歓迎 ◆40歳までの方 ◎学歴不問 ◎先輩の95%は未経験入社 ※複数名採用！同期と一緒に働けます！,勤務地:【★積極採用中⇒池袋店/銀座店/新宿店/川崎店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分圏内…,"給与:【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…",初年度年収:450万円～1000万円
2,ロイヤルハウジング株式会社 | <創業47年ロイヤルグループ>☆2020年過去最高の業績を達成！,仕事内容:<ノルマなし！提案に集中できる><百貨店内の来店型接客！テレアポ・飛び込みなし>有料老人ホームやサービス付き高齢者向け住宅等の高齢者住宅をご案内,対象となる方:<介護業界経験は問いません>◎学歴不問◎ブランクOK◎生命保険営業の経験をお持ちの方◎高齢者を思いやり寄り添える方☆産育休からの復帰率ほぼ100％,勤務地:★転居を伴う転勤はありません ★直行直帰OK ★店舗は全て駅ビル内or駅前・駅近のためアクセス抜群…,"給与:【一般】 月給26万5,000円〜55万円＋業績賞与（年3回）+諸手当 【幹部候補】 月給35万円〜＋業績賞与（…",初年度年収:300万円～1000万円
3,株式会社ヨドバシカメラ | ◇正社員比率96.4%◇残業代100%(1分単位)支給◇社員割引制度有◇,仕事内容:物流を支える都内各営業所、もしくは『アッセンブリーセンター川崎』にて個人のお客様へ商品の宅配を行います。※特別なスキルや資格は必要ありません,対象となる方:【未経験者／第二新卒歓迎】◆45歳未満 ◆要普免(AT限定可) ※ペーパードライバー不可,勤務地:●都内各営業所(新宿区、世田谷区、足立区、江東区、北区、調布市、武蔵野市等)＋神奈川営業所(川崎市…,給与:月給20万5000円以上＋職務手当＋超過勤務手当 《年収例》 ■年収400万円／25歳／入社3年目／基本給20.5…,初年度年収:300万円～500万円
4,アート印刷株式会社 | ★時差出勤 ★土日祝休み ★企画から携われる,仕事内容:【販促ツールをメインに手掛ける／OJTで仕事を覚えられる】★大手企業をはじめとするクライアントの販促ツールやSP商材などのデザインを担当します。,対象となる方:【第二新卒歓迎】◆デザイナーとしての実務経験、もしくは同等のスキルがある方 ★幅広いジャンルに興味が持てる、好奇心旺盛な方,勤務地:★転勤なし／U・Iターン歓迎 【本社】 東京都港区芝3-3-15 芝MONTビル 【交通アクセス】…,"給与:月給236,000円〜 ※試用期間3ヶ月（待遇変動なし） ※上記給与には45時間分の固定残業代60,000円を含みま…",
5,トキコシステムソリューションズ株式会社 | 創業84年！エネルギーインフラの総合エンジニアリング企業,仕事内容:【総務（給与計算・社会保険業務など）】【社内システム開発やインフラ整備】【購買】の中から、経験・スキルや希望などに応じた業務をお任せします。,対象となる方:【第二新卒・経験の浅い方もOK】給与計算や労務管理・システム開発・購買など、いずれかの経験がある方　★賞与は年間5.7ヶ月分・フレックスタイム制,勤務地:【本社（神奈川県川崎市）】または【静岡事業所】に配属 ※希望を最大限に考慮します。 本社／神奈川県…,給与:月給20万円〜35万円＋諸手当＋賞与（年間5.7ヶ月分／昨年実績） ※経験・年齢などを考慮の上、決定しま…,
6,名正運輸株式会社 | ◎設立52年 ◎10年連続で売上アップ↑ ◎全国に向けて事業拡大中,仕事内容:【配送先が決まっているから安心｜日帰り配送のみ・長距離はありません】3t/4t/10tトラックで日用品や食品の配送をお任せします！◎資格取得支援あり,対象となる方:【20～30代が多数活躍中！】◎盤石な経営基盤のもと、未経験から育てます！◎応募条件：中型免許または旧普通免許（2007年6月1日以前に取得したもの）,勤務地:◎転勤なし／希望を考慮 【愛知県、岐阜県、静岡県、神奈川県、千葉県、群馬県、大阪府の各拠点】 ◎マ…,給与:【 3t 】月給27万円〜30万円 【 4t 】月給28万円〜35万円 【 10t 】月給32万円〜40万円 ※担当車種・勤…,
7,株式会社北浦工業 | 《安定性》日揮・東洋エンジニアリングなど大手企業と多数取引！,仕事内容:身近な製品に使用されているガラスや繊維など。その”なくてはならないモノ”をつくる設備の新設工事や点検・メンテナンスを担当していただきます,対象となる方:運転免許(AT可)があれば応募OK！◇安定した会社で技術を身につけたい、モノづくりに関わる仕事を続けたい…という方はぜひ！◇未経験スタート多数,勤務地:※マイカー通勤OK！ ※各案件先での業務がメインとなります。 勤務地は希望を考慮します。 【本社(…,給与:月給27万7000円以上＋賞与年2回(業績により＋決算賞与あり) ※経験・年齢を考慮の上、決定しています。 …,初年度年収:350万円～600万円
8,株式会社ECOサイクル | 全員面接保証／面接1回／人を育てる方針で多くの方を採用予定！,仕事内容:【複数名採用！同期と一緒にスタートできる！】生前整理などの相談対応や思い出の品の回収◆ノルマなしだけど、インセンを支給◆チーム制だから安心,対象となる方:【応募者全員面接します！】《経験・年齢・学歴不問》◎しっかり稼いでオフも充実できる体制を整えています！＜土日祝休み＆基本残業なし＞,勤務地:《転勤なし！》《社用車通勤OK！》 神奈川県川崎市川崎区大島2-17-13 ベラセラータ1F,給与:◆月給27万円以上＋歩合あり・賞与年2回 ※経験・年齢・能力を考慮の上、決定いたします。 ※経験者の方…,初年度年収:400万円～650万円
9,テクノスクエア株式会社 | 大手SIerやメーカーとの直接取引！高収益の開発会社です。,仕事内容:【10年後の150名体制に向けた積極採用】豊富な選択肢から、最適な開発案件をお任せします。 ★着実に社員も増加中！階層別研修で着実に成長できます,対象となる方:システム開発の経験（開発領域・言語・環境は不問） ★経験やスキルに合わせた業務をお任せするので、経験の浅い方も歓迎します！　★年間休日125日,勤務地:★転居を伴う転勤なし・UIターンも歓迎！ 【川崎本社】または【東京・神奈川のプロジェクト先】での勤…,"給与:月給23万9,000円以上＋残業手当（全額）＋その他諸手当＋賞与年3回 ※経験・スキル・年齢などを十分に考…",初年度年収:350万円～500万円
10,株式会社UB | ◆基本定時退社◆有休消化率100％◆休みの希望は断りません！,仕事内容:【ノルマなし&100％内勤】【休憩たっぷり！実働7h未満】電話で当社のサービスをご案内。＊すぐにスタートできる！具体的な提案は先輩スタッフが担当！,対象となる方:【性別不問／未経験大歓迎！】◆知識ゼロでも全く問題なし！◆頑張った分だけしっかり稼げる仕事です！◆再スタートを切りたい方を大歓迎！,勤務地:《転勤なし！川崎駅からスグ》 ※勤務地は希望に応じます。 神奈川県川崎市川崎区砂子1-4-2 小島…,給与:月給25万円以上＋歩合＋賞与年2回 ※経験・年齢・能力を考慮の上、決定いたします。 ※経験者の方は前職…,初年度年収:350万円～1000万円
11,日本eリモデル株式会社 | 勤続1年以上の平均月収59万3000円【大阪府緊急雇用対策に賛同】,仕事内容:未経験から成長できるエクステリアプランナー。エクステリア（住まいの外側）を中心にインテリア等、住まい全体のプランニングをお任せします。,対象となる方:■高卒以上　■年齢不問　■エコや環境について関心をお持ちの方（知識は入社後に身につけられます）　■自分の夢や目標を絶対に実現したい方,勤務地:■宇都宮支店：栃木県宇都宮市 ■高崎支店：群馬県高崎市 ■埼玉支店 ：埼玉県さいたま市大宮区 ■千…,給与:[1]月給19万500円〜24万3500円※勤務地により異なる （固定残業代5万3000円〜6万7500円／53h含。超過分別…,初年度年収:300万円～700万円
12,グローバルトレード株式会社 | 【国内最大級のオークション運営】★10時出社★残業月30h以内,仕事内容:【正社員採用】カスタマーサポート、発送・受注管理／ＢtoＢオークションに出品する商品の確認・管理など★先輩はほぼ未経験START★多彩なキャリア,対象となる方:【40歳まで】◆学歴不問◆未経験・既卒歓迎 ★万全の育成体制＝知識ゼロでOK★派遣・飲食・観光・土木などからの転職者多数★第二新卒特別特集参画中,勤務地:【転居を伴う転勤なし】 ★入社後は品川で研修を実施 ★オークション課は新横浜での勤務があります ◆…,給与:【月給20万円以上】＋諸手当＋賞与2回 ※経験・スキルを考慮の上、当社規定により優遇します。 ※試用期…,初年度年収:300万円～600万円
13,トキコシステムソリューションズ株式会社 | 創業84年！エネルギーインフラの総合エンジニアリング企業,仕事内容:水素ステーションや鉄道・船舶・航空機の給油設備などにおける、【営業】【設計】【施工管理】の中から、希望や適性に応じた業務をお任せします。,対象となる方:【第二新卒・経験の浅い方もOK】工業高校や建築・理系の学科の出身者や、機械・設備や建築・土木に関わる業界での業務経験がある方は大歓迎です！,勤務地:【本社（神奈川県川崎市）】または【全国の支店・営業所】に配属 ※希望を最大限に考慮します。 ▼詳細…,給与:月給20万円〜35万円＋諸手当＋賞与（年間5.7ヶ月分／昨年実績） ※経験・年齢などを考慮の上、決定しま…,
14,ロイヤルハウジング株式会社 | <創業47年ロイヤルグループ>☆2020年過去最高の業績を達成！,仕事内容:<ノルマなし！提案に集中できる><百貨店内の来店型接客！テレアポ・飛び込みなし>有料老人ホームやサービス付き高齢者向け住宅等の高齢者住宅をご案内,対象となる方:<女性社員が多数活躍中>◎学歴不問◎未経験歓迎◎ブランクありや初めての転職の方も歓迎◎高齢者を思いやれる方☆産育休からの復帰率ほぼ100％,勤務地:★転居を伴う転勤はありません ★直行直帰OK ★店舗は全て駅ビル内or駅前・駅近のためアクセス抜群…,"給与:【一般】 月給26万5,000円〜55万円＋業績賞与（年3回）+諸手当 【幹部候補】 月給35万円〜＋業績賞与（…",初年度年収:300万円～1000万円
15,"株式会社ギオン | グループ従業員数4,500名！全国に70拠点を展開する業界大手企業",仕事内容:いつものお客様に食品お届けする近距離のルート配送業務です。　※未経験の方にも丁寧な研修あり！先輩の同乗研修や構内での運転の練習も行います！,対象となる方:【学歴不問／未経験者歓迎】要普通自動車免許（AT限定可）　※中型・大型免許をお持ちの方は大歓迎,勤務地:23のセンターで募集！ 【神奈川県】 神奈川第一・第二 / 座間市ひばりが丘4-3-1 綾瀬 /…,給与:月給20万円〜（月収例26〜32万円 / 年収例300〜450万円） ※試用期間2ヶ月は時給制（詳細下記） 【神奈…,初年度年収:300万円～450万円
16,トキコシステムソリューションズ株式会社 | 創業84年！エネルギーインフラの総合エンジニアリング企業,仕事内容:ガソリンスタンドや水素ステーションなどにある、自社製品の点検・メンテナンスを行います。 ★フレックスタイム制・土日休みなど、抜群の働きやすさ,対象となる方:【未経験や学校卒業間もない方も歓迎】 異業種出身の先輩が多数活躍しています！ ★手厚い教育体制が整っているので、未経験でも安心です,勤務地:【全国の支店・営業所】いずれかに配属 ※希望を考慮します。 ▼詳細は当社HPをご確認ください。 h…,給与:月給18万円〜35万円＋諸手当＋賞与（年間5.7ヶ月分／昨年実績） ※経験・年齢などを考慮の上、決定しま…,
17,株式会社エステック | 昭和電線グループ■社会インフラに関わる総合電設会社です！,"仕事内容:【電力供給の ""要"" となる地中の送電線関連工事に携わる仕事です！】現場調査・監理、関係各所との調整や手続き、工程・予算等の管理などの業務",対象となる方:【教育体制や資格取得支援も整っているので、未経験や学校卒業間もない方も歓迎します！】手当・福利厚生が充実／土日祝休み・年間休日120日以上,勤務地:★転勤はありません！ 本社／神奈川県川崎市川崎区小田栄2-1-1 昭和電線小田栄ビル3F 【アクセ…,"給与:月給20万1,000円〜36万円 ※経験・能力・年齢などを考慮の上、決定いたします。 ※上記月給には、一律手…",初年度年収:400万円～760万円
18,コストコホールセールジャパン株式会社 | 《入間倉庫店》世界12ヵ国・796倉庫店を展開するグローバル企業,仕事内容:【コストコの〈正社員〉として活躍】希望・適正に応じて、下記いずれかの部門に配属します。※精肉・鮮魚の部門で、特に積極採用中です！,対象となる方:【未経験OK／第二新卒者もぜひ】◆35歳以下の方(若年層の長期キャリア形成を図るため)◆女性社員活躍中！入間倉庫店の店長&副店長は、現在女性です！,勤務地:コストコホールセール 入間倉庫店 埼玉県入間市宮寺3169-2 ※マイカー通勤OK(駐車場完備),給与:時給1300円 【月収例】 月収24万円(23歳／1年目／未経験) 月収30万円(28歳／3年目) 月収40万円(30歳／5…,
19,コストコホールセールジャパン株式会社 | 【前橋倉庫店】世界に796の倉庫店を展開！1億人以上の会員が利用,仕事内容:【残業ほぼなし】レジ・商品管理・お客様対応を中心に、店舗運営をおまかせ！＊研修期間は先輩とのペア制度だから、分からないことはその都度聞ける！,対象となる方:【未経験歓迎／学歴不問】※35歳以下(若年層の長期キャリア形成を図るため)★人と接することが好きな方に最適★販売・接客・営業スキルが活かせます！,勤務地:【コストコ前橋倉庫店】群馬県前橋市鶴光路町137-2 ◎マイカー・バイク通勤OK,"給与:時給1,300円以上 【月収例】 23歳／1年目／未経験⇒月収24万円 28歳／3年目⇒月収30万円 30歳／5年目／ス…",
20,"内外液輸株式会社 | 三菱ガス化学の関連企業／15年以上""無事故優秀事業者""の顕彰獲得",仕事内容:【市場価値の高いドライバーへ】化学原料の運搬をお任せします。 ★未経験でも安心！先輩との同乗からスタート ＆ 勤続10年以上の社員も多数在籍,対象となる方:【学歴不問・未経験歓迎】◎大型自動車免許と危険物乙4種の資格をお持ちの方　★定時は16時・土日祝休み・手厚い福利厚生！女性ドライバーも活躍中,勤務地:★マイカー・バイク・自転車通勤OK（敷地内に駐車場あり） 本社／神奈川県川崎市川崎区塩浜4丁目1-…,"給与:月給25万6,000円以上＋諸手当＋賞与（年2回） ※経験・年齢などを考慮の上、当社規定により決定します。…",初年度年収:350万円～600万円
21,株式会社エフ・オー・プランニング,仕事内容:【配送スタッフ】近隣配送・小型荷物で負担少なめ／完全週休3日／賞与年2回,対象となる方:学歴不問・未経験・第二新卒歓迎■45才未満(若年層の長期キャリア形成を図るため)■AT限定or原付免許保有者,勤務地:東京都内、神奈川県川崎市にある各事業所 ※あなたが希望した勤務地への配属となります。転勤はありませ…,給与:月給25万円以上 ※基本給19万円+見込み残業6万円分(44ｈ分)含む ※残業が44hを超えた場合も超過分を別途…,初年度年収:350万円
22,太洋繊維株式会社 | 作業服専門店「ワークランド」 ★首都圏で新店舗を続々出店中！,仕事内容:入社後まずは、店舗の運営業務からスタート。スタッフみんなで、あなたの成長をサポートするので、未経験の方も安心してください！,対象となる方:【未経験歓迎！異業種出身者も多数活躍中】 35歳まで、普通自動車免許　★年3回の長期連休！社用車を1人1台貸与・借上社宅など、手厚い待遇も嬉しい♪,勤務地:★転居を伴う、転勤はありません！ 神奈川・東京・千葉・埼玉、いずれかの店舗に配属 ※勤務地は希望を…,"給与:月給20万5,000円〜35万円 ※年齢給の制度を採用しているので、毎年給与がUPします！ ※経験・能力・前職…",初年度年収:300万円～500万円
23,株式会社ZEAL | 完全週休2日制！残業月20H程度！成長を続ける総合商社,仕事内容:【アイデアを発信＆業務に反映できる環境！】 ◆デジタルマーケティング（戦略立案～プラン作成・実行～検証・改善施策立案）をお任せします。,対象となる方:【経験の浅い方から即戦力まで幅広く募集！】 ◆デジタル広告運用経験1年以上 ◆基本PCスキル ◎完休2日制/残業月平均20H程度/福利厚生充実,勤務地:東京都港区新橋5-14-10 新橋スクエアビル8F ＜アクセス＞ 各線「新橋駅」より徒歩6分 ゆり…,給与:月給30万円以上 ※経験・能力・前給などを考慮のうえ、当社規定により優遇 ※試用期間：6か月（待遇・条…,
24,昭和企業株式会社 | ★残業月9h以内★完休2日制＆年休123日 ★月給37万円も可,仕事内容:【研修充実♪／女性活躍中】幼児向けレッスンや教室運営をお任せします。◎少人数制や1対1で幼児の成長にしっかり関われるお仕事です。,対象となる方:【年齢不問／職種・業種未経験歓迎／ブランク可】保育士資格をお持ちの方や教育・心理・社会福祉学を専攻された方は優遇致します！,勤務地:【大森駅・川崎駅徒歩6〜7分】希望勤務地を配慮の上、決定いたします★引越し手当もあり ★2020年…,給与:月給：22万円〜37万円+各種手当+残業代+賞与+交通費全額 ★賞与はコペルプラス各教室の中でトップクラス…,初年度年収:300万円～510万円
25,株式会社じゃんぱら | 【総合デジタルリユースショップ「じゃんぱら」を全国展開中！】,仕事内容:《抜群の働きやすさ》 ◆総合デジタルショップ「じゃんぱら」の店舗で、買取・販売スタッフとして活躍してください！★早期キャリアアップ可能！,対象となる方:≪第二新卒特別特集参画中≫ ◆店長候補：販売or小売接客の経験をお持ちの方 ◆スタッフ：未経験歓迎！★プライベートを大切にできる環境！,勤務地:東京積極採用中！ ※全国で同時募集 ★ご希望を考慮の上、決定します。 ★U・Iターン希望の方も歓迎…,給与:【経験者】月給25万1千円〜28万8千円 ※経験・年齢・能力を考慮の上、当社規定により優遇します。 ※固定…,初年度年収:300万円～400万円
26,株式会社ココルポート | WAMNETにおける “首都圏の就労移行支援事業所数” No.1！,仕事内容:障がい者の方への就職・自立サポートと、就職後の定着に向けたフォローを行います。★就職者数 & 就職後の定着率も、業界トップクラス！,対象となる方:【コロナの影響で失業された方も歓迎】 人の役に立つ仕事や、社会貢献したい方　※残業少なめ・手厚い福利厚生も、嬉しいポイント♪,勤務地:愛知・東京・埼玉・神奈川・千葉・福岡のいずれかの事業所 ※勤務地は希望を考慮します。 【勤務地一覧…,給与:【経験者】 月給23.5万円以上＋各種手当 ※上記月給には、みなし残業手当（3万7300円／25時間分）が含ま…,初年度年収:300万円～450万円
27,株式会社ZEAL | 完全週休2日制！残業月20H程度！成長を続ける総合商社,仕事内容:【成長企業のブランディングをトータルカバー！】 ◆コーポレートならびに各サービスの広報業務をお任せします ◎アイデアを形にできる環境が自慢！,対象となる方:【経験の浅い方から即戦力まで幅広く募集！】 ◆広報業務経験１年以上 ◆基本PCスキル ◎完全週休2日制/残業月平均20時間程度/福利厚生充実,勤務地:東京都港区新橋5-14-10 新橋スクエアビル8F ＜アクセス＞ 各線「新橋駅」より徒歩6分 ゆり…,給与:月給30万円以上 ※経験・能力・前給などを考慮のうえ、当社規定により優遇 ※試用期間：6か月（待遇・条…,
28,株式会社アールカンパニー | 業界トップクラスの給与！新規事業を立ち上げ業績も好調に推移！,仕事内容:人気のキックボクシングダイエットのトレーナーとして、美と健康をサポートします。 ※店舗運営全般に携わり、幹部候補として活躍できる！,対象となる方:【賞与5ヶ月分・毎月最大4万円の月給UPも】スポーツや格闘技が好き・好きな仕事で稼ぎたい方を歓迎！ ※20～30代＆未経験スタートの先輩も多数活躍中,勤務地:※全て駅チカの拠点です！ 【川崎】【関内馬車道】【鶴見】【大森】【蒲田】 いずれかのキックボクシン…,給与:月給21万円〜65万円 ※試用期間（2ヶ月間）は、月給20万円以上になります。,初年度年収:500万円～800万円
