,0,1,2,3,4,5
59,株式会社星医療酸器 | 【JASDAQ上場企業】★医療福祉業界トップクラスの実績★,仕事内容:【関係構築からアフターまでを一気通貫！】 ◆車いすや介護用ベッドなどの福祉用具を、居宅介護事業所を中心としたケアマネージャーへ向けご提案！,対象となる方:≪第二新卒特別特集参画中≫★人物重視の採用 ◆要普通免許(AT限定可) ◆基礎的なPCスキル ◎週休2日制/年休120日以上/充実した福利厚生！,勤務地:埼玉県・東京都・神奈川県で同時募集中！ 転居を伴う転勤無し！ ※勤務先は希望に応じては配属致します…,"給与:月給21万円〜30万円 ※前職や経験、スキルを考慮の上、優遇いたします。 ※固定残業代30時間分/42,000円…",初年度年収:250万円～350万円
60,有限会社京浜材料試験 | 設立47年目・東京都から登録を受けた「数少ない試験機関」です！,仕事内容:【建物を建てる際に、必ず必要とされる仕事】 建築物に使用するコンクリートの検査・試験をお任せします。 ★専門資格の取得も支援（費用は会社負担）,対象となる方:【未経験歓迎・知識も入社後でOK】 普通自動車免許（AT可） ★幅広い世代が活躍中！「プライベートを大切にできる」と、業界経験者からも好評です◎,勤務地:本社／神奈川県川崎市川崎区浅野町6-16 ★車通勤OK（1人1台、社用車を支給いたします／詳細は【…,"給与:月給25万円〜37万5,000円 ※経験・年齢・前職の給与などを考慮して、決定します。 ※試用期間／3ヶ月（…",初年度年収:300万円～450万円
61,株式会社ニフス | 保育園での勤務だから、子ども好きな人はぜひ♪有資格者限定募集,仕事内容:新規にオープンする保育園にて食事提供に関わる業務を担当いただきます。※残業はほぼなし※日祝は休園日 + ほか希望を考慮した月8～10日のシフト休み,対象となる方:◆栄養士・管理栄養士・調理師のいずれかの有資格者 ◆出産・育児等によるブランクがある方も歓迎 ☆保育園での勤務：子ども好きな方はぜひ,勤務地:〈2021年4月に開園！〉東おおしま保育園 神奈川県川崎市川崎区大島5-21-12 └0歳児から5…,給与:【月給】23万5000円以上 ※年齢や経験を考慮し、当社規定により優遇します ※上記月給には、一律支給の…,初年度年収:300万円～400万円
62,株式会社高橋工業所 | 【選べる働き方×長期休暇有×残業代全額支給】,仕事内容:加工された鉄筋をトラックに荷積みする際の玉掛け作業（クレーンで運ぶためのワイヤー掛け）を担当します。※重い鉄骨を持ち運ぶことはありません,対象となる方:【学歴・経験不問】■玉掛作業者資格、天井クレーン運転資格をお持ちの方は歓迎！ ※色んなことをするよりルーティンワークが好きな方にオススメ！,勤務地:【平塚営業所】 神奈川県平塚市久領堤2-19　三興製鋼(株)内 ※転勤なし。平塚エリアでずっと働け…,給与:月給30万円以上＋賞与年2回 【月収例】月収40万円／入社1年目 ※基本給は経験・能力を考慮のうえ決定し…,初年度年収:430万円～500万円
63,関東シティフレイト株式会社 | 東証一部上場・日本トランスシティ（株）グループ,仕事内容:配車や受付業務・書類の準備など、お客様とドライバーを結ぶ、物流事務をお任せします！ ※頼りになる先輩が丁寧に指導するので、未経験でも安心です,対象となる方:【未経験・第二新卒歓迎】・普通自動車免許（AT限定可）・周囲と積極的にコミュニケーションを図れる方　※残業少なめ・有休取りやすい,勤務地:※マイカー通勤OK！ 川崎事業所／神奈川県川崎市川崎区東扇島27-2,給与:月給25万円〜32万円（一律手当含む） ※経験・年齢などを考慮の上、当社規定により決定します。 ※試用…,初年度年収:300万円～450万円
64,昭和物流株式会社 | 東証一部上場・丸全昭和運輸（株）グループ/★年休120日,仕事内容:入庫・出庫・輸送・輸出入に関する手配業務をお任せします。 ※物流の司令塔として活躍！じっくり教えていくので安心してください。,対象となる方:【第二新卒歓迎／20～30代をはじめ、幅広い世代が活躍中】 普通自動車免許（AT可）、基本的なPCスキル　※残業は月30時間程・年間休日120日,勤務地:本社(川崎市)・千葉(市原市)・東京(港区)、いずれかの拠点に配属します。 ※勤務地は希望を考慮し…,給与:月給25万円以上 ※経験・年齢・前職の給与を考慮の上、決定します。 ※試用期間／3ヶ月 ※上記月給には…,初年度年収:350万円～400万円
65,"東邦自動車株式会社 | プジョー,シトロエン,三菱,スズキ,ダイハツの正規ディーラー",仕事内容:【簡単な点検から少しずつ！】点検・整備・修理業務をチームでお任せします。将来的に、管理職を目指すも、現場にこだわるも、フロント職に移るもOK♪,対象となる方:【実務経験は一切不問です！】☆第二新卒歓迎！◆学歴・経験不問！◆2級以上の自動車整備士資格をお持ちの方◆要普通免(MT),勤務地:東京都、神奈川県の各店舗 ★勤務地の希望を考慮！ ★転居を伴う異動なし！ ■プジョー大田／東京都大…,"給与:月給241,000円〜363,000円【前職の給与を考慮いたします】 ※上記金額には固定時間外手当30時間分（44,0…",
66,株式会社大平興業舎 | 資格取得支援有／家族手当・住宅手当など充実／月残業20h程度,仕事内容:電話・来客対応、データ入力など、事務業務をお任せします。 ★未経験の方も安心！優しい先輩が丁寧に教えます,対象となる方:【未経験歓迎】◎基本的なPCスキル（難しい操作は必要ありません）/物流・運送会社での経験があれば活かせます。,勤務地:転勤なし&マイカー通勤OK！ 【本社営業所／扇町倉庫】 神奈川県川崎市川崎区扇町53番地 JFEス…,給与:月給18万円〜25万円＋一律手当＋残業代（残業は月平均20時間程度です） ※あなたのスキル・経験などを考…,初年度年収:260万円～360万円
67,尾崎理化株式会社 | 横浜勤務／WEB面接可／年間休日128日／残業月平均30h程度,仕事内容:《”買う意思”が明確な顧客への営業！》大学病院や研究機関などを中心に、理化学機器や試薬など幅広いアイテムを販売する＜ルート営業＞です。,対象となる方:《未経験・第二新卒歓迎》【応募条件】◎高卒以上 ◎要普免(AT限定可) ◎30歳までの方(※) ★業種業界を問わず営業経験があれば活かせます,勤務地:【横浜営業所】 神奈川県横浜市緑区いぶき野31-10 ＜アクセス＞ JR横浜線「十日市場駅」より徒…,"給与:月給：23万9,400円〜26万3,600円(一律手当込み) 　　＋その他諸手当(家族手当や資格手当 等)あり ※年齢…",初年度年収:300万円～350万円
68,株式会社ヤマガタ | 設立56年の歴史と実績を誇る安定経営企業　【ヤマガタグループ】,仕事内容:【安定性バツグン／連休取得もOK！】４ｔまたは大型トラックのドライバーとして、大手スーパーのチルド食品の配送業務をお任せします。,対象となる方:【未経験者・経験者ともに歓迎！異業種出身者活躍中！】要中型以上の免許（平成19年6月までに普通免許を取得した方もOK）※大型免許取得者は優遇,勤務地:【横浜営業所】【厚木営業所】【船橋営業所】【東京営業所】【八千代営業所】いずれかの拠点 車通勤OK…,給与:月給32万円以上 ※経験・能力などを考慮し、当社規定により決定します。 ※固定残業代（35時間分6万円以…,初年度年収:360万円～400万円
69,WDB株式会社 | 東証一部上場・WDBホールディングスグループ 　★土日祝休み,仕事内容:【未経験でも安心の研修制度】神奈川エリア中心の大手メーカー・大学・公的機関などの研究プロジェクトで活躍していただきます！,対象となる方:理系学部を卒業された方、研究・実験の実務経験（1年以上の方は学歴不問） ★第二新卒・実務未経験・ブランクがある方も、ポテンシャル次第で積極採用,勤務地:★UIターン歓迎・マイカー通勤も相談OK！ 神奈川県内の各企業や研究施設など ※あなたのキャリアプ…,給与:【マイタウン型】 月給20万円〜30万円＋各種手当＋賞与年2回 【マイエリア型】 月給21万5000円〜31万500…,初年度年収:300万円～500万円
70,ビューテックローリー株式会社 | 【売上1600億円の巨大グループの一員】◆石油製品の輸送の専門,仕事内容:【イチから育成します！】◆海外から届いたガソリンなどの”石油製品”を無事に輸送できるよう、受入から出荷までの一連の管理業務をお任せします,対象となる方:【未経験・第二新卒歓迎】◆45歳以下の方(*) ＊それ以外、学歴や経験、資格やスキルなどは一切不問です！”手に職”つけて活躍したい方に最適！,勤務地:愛知県知多市での勤務となります ※マイカー通勤OK（駐車場完備） 【愛知製油所】 愛知県知多市南浜…,"給与:月給17万5,193円＋諸手当 〜 《月収例》月収26万円/入社1年目・独身・寮入居 ※経験・年齢を考慮いたし…",初年度年収:300万円～400万円
71,ペットリファインテクノロジー株式会社 | 【日本環境設計グループ★世界に誇る特許技術を保有】,仕事内容:工場内のITインフラの運営全般をお任せします。工場立ち上げ時期の変革期に携われます／裁量大きく就業可能／SDGs事業を展開中,対象となる方:≪応募条件≫ITインフラ運用経験／未経験の分野については必要に応じて学習し習得していただくことを想定しています。,勤務地:本社 神奈川県川崎市川崎区扇町12-2,"給与:＜月給＞ 362,000円〜397,000円 ※経験・年齢・スキルを考慮のうえ、決定します ※試用期間3ヶ月あり。…",初年度年収:450万円～700万円
72,ペットリファインテクノロジー株式会社 | 【日本環境設計グループ★世界に誇る特許技術を保有】,仕事内容:工場における設備関連の調達および見積業務をお任せ。購買調達に関するご経験がある方であれば即戦力に期待できます。,対象となる方:≪応募条件≫ 購買や調達経験のある方／設備や大型機械、プラントの設計に携わったご経験のある方,勤務地:本社 神奈川県川崎市川崎区扇町12-2,"給与:＜月給＞ 289,000円〜362,000円 ※経験・年齢・スキルを考慮のうえ、決定します ※試用期間3ヶ月あり。…",初年度年収:400万円～500万円
73,株式会社京急リブコ | ＜Living and community>京急グループ/暮らしの総合パートナー,仕事内容:【転勤なし／京急沿線の暮らしを支える】経験を活かして、京急沿線を中心としたマンションのリノベーションの施工管理をお任せします。,対象となる方:【建築・土木・造園いずれかの施工管理経験のある方(資格は不問）／年齢・学歴不問】資格を活かして働きたい方/資格取得を目指しながら働きたい方,勤務地:【本社】 神奈川県横浜市西区高島1-2-8 ◆京浜急行「横浜」駅より徒歩7分 ◆転勤なし 【川崎事…,給与:月給20万円以上 ※経験・能力などを考慮し、当社規定によりけ決定します。 ※試用期間3ヵ月(期間中の待遇…,初年度年収:360万円～600万円
74,葵精機株式会社 | 大手メーカーと取引多数！ “コロナにも左右されない” 安定企業,仕事内容:医薬品や食品・通信業界、半導体製造装置メーカーのお客様からの相談に対し製造装置や精密部品の提案を行っていただきます。 ★既存顧客が約9割です。,対象となる方:【未経験・第二新卒歓迎】 医薬品・食品・通信・半導体に関わる業界での業務経験（機械図面が読める方） ★土日休み・残業は月20～30時間,勤務地:★自転車・バイク通勤OK！ 高津事業所（川崎市高津区）、もしくは小田栄事業所（川崎市川崎区）、千葉…,給与:月給20万円〜26万円 ※経験・年齢などを考慮の上、当社規定により決定します。 ※試用期間／3ヶ月（期間…,初年度年収:320万円～420万円
75,株式会社マミヤ | 創業62年の安定企業。東京都、神奈川県を中心に工事の実績多数,仕事内容:施工現場の監督として、安全・品質・工程管理を行います。併せて、顧客との打合せ、工事終了に伴う報告書の作成等が主たる業務内容となります。,対象となる方:【学歴不問】塗装・防水・建築・土木のいずれかの経験/基本的なPCスキル/普通運転免許（AT可）　※資格は入社後の支援制度で取ることも可能です。,勤務地:神奈川県川崎市川崎区小田栄1-9-25,給与:月給 30.0万円〜45.0万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月間（給…,初年度年収:400万円～600万円
76,株式会社スミフルジャパン | ”甘熟王”などバナナの国内シェアトップクラスの食品商社,仕事内容:フィリピンの自社管理農園で生産されるバナナを、産地から量販店の店頭に届けるまでの品質管理をご担当いただきます。,対象となる方:【意欲・人柄重視の採用】◆大卒以上◆英会話スキル（日常会話程度）がある方　★農業系のバックグラウンドや、農業に興味をお持ちの方大歓迎です！,勤務地:川崎拠店 神奈川県 川崎市川崎区扇町13-1 ＜アクセス＞ JR鶴見線「昭和駅」より徒歩10分,"給与:月給225,000円〜262,000円 ※年齢・スキル・経験を考慮の上、弊社規定により決定します。 ※試用期間3ヶ…",初年度年収:355万円～413万円
77,三菱化工機株式会社 | 【東証一部上場】年間休日128日／残業月30時間,仕事内容:環境技術担当として、し尿処理設備・官公庁向け下水処理設備等の設計業務に携わって頂きます。,対象となる方:高卒以上、Uターン・Iターン歓迎、水処理関連の設計経験,勤務地:本社（川崎市川崎区）と大阪支社（大阪市中央区）での募集となります。 ◆本社営業事務所 神奈川県川崎…,"給与:月給250,000円〜 ※社内規定、経験、能力等考慮し決定致します。",初年度年収:400万円～700万円
78,三菱化工機株式会社 | 【東証一部上場】年間休日128日／残業月30時間,仕事内容:配管設計担当として、国内外の化学・エネルギープラントに関わる配管設計業務をお任せします,対象となる方:高卒以上、Uターン・Iターン歓迎、エンジニアリング会社でのEPC業務経験、プラント配管設計の経験,勤務地:本社 神奈川県川崎市川崎区大川町2-1,"給与:月給220,000円〜420,000円 ※社内規定、経験、能力等考慮し決定致します。",初年度年収:400万円～800万円
79,三菱化工機株式会社 | 【東証一部上場】年間休日128日,仕事内容:プラント事業（石油、都市ガス、医薬、食品向け）または環境事業（上下水処理向け）の国内プラント建設プロジェクトにおける工事監理業務をお任せ,対象となる方:高卒以上、Uターン・Iターン歓迎、プラントや下水処理場での施工管理実務経験,勤務地:◆本社 神奈川県川崎市川崎区大川町2-1 JR鶴見線／大川駅 ◆大阪支社 大阪府大阪市中央区今橋2…,"給与:月給300,000円〜450,000円 ※社内規定、経験、能力等考慮し決定致します。",初年度年収:500万円～700万円
80,三菱化工機株式会社 | 【東証一部上場】年間休日128日／残業月10時間,仕事内容:◆社内SEとして社内システム・サーバの運用・管理、ネットワークインフラの運用・監視、PC・ユーザーサポートなど幅広い業務をお任せします。,対象となる方:◆サーバ・ネットワーク・情報セキュリティ等のインフラ知識・経験をお持ちの方　　　　　◆ユーザーサポートやトラブルシューティングの実務経験,勤務地:本社 神奈川県川崎市川崎区大川町2-1,"給与:月給250,000円〜400,000円 ※社内規定、経験、能力等考慮し決定致します。 ※試用期間は6カ月（待遇に変…",初年度年収:330万円～570万円
81,三菱化工機株式会社 | 【東証一部上場】年間休日128日／残業月30時間,仕事内容:マレーシア、タイ等の海外地域のプラント建設（ガス、LNG、石油精製、化学、食品など）において、計装、又は電気設計業務の取りまとめをお任せします,対象となる方:学歴不問、Uターン・Iターン歓迎、プラント電気設備の設計又は計装設計の実務経験,勤務地:本社 神奈川県川崎市川崎区大川町2-1,"給与:月給300,000円〜420,000円 ※社内規定、経験、能力等考慮し決定致します。",初年度年収:500万円～700万円
82,日本郵便オフィスサポート株式会社 | 日本郵便株式会社の100％出資会社＊土日祝休＊年間休日120日以上,仕事内容:＜日本郵政グループ！日本の郵便を支える仕事です＞　事務業務をメインに電話対応・書類作成など希望と適性を考慮しお任せします。,対象となる方:【第二新卒・子育て中の方、大歓迎！】未経験歓迎！人物重視の採用をいたします！,勤務地:◆JR川崎・京急川崎からアクセス可能！ 神奈川県川崎市川崎区榎町１−２,給与:時給1200円以上 ※経験・能力を考慮の上、決定いたします 月収例：19万4800円以上,初年度年収:200万円～250万円
83,川崎市住宅供給公社 | 公社ならではの公務員に準じた安定の職場環境です！,仕事内容:川崎市の市営住宅・公的賃貸住宅（団地・マンション）の大規模修繕等に関する計画・設計・積算・工事監理を担当していただきます。,対象となる方:大卒以上（建築系の学部・学科を卒業した方）、建築施工管理・設計・積算・監理いずれかの経験、普通自動車免許（AT可）,勤務地:本社／神奈川県川崎市川崎区砂子1-2-4 川崎砂子ビルディング,"給与:月給21万3,900円〜26万5,400円＋各種手当＋賞与（年2回／4.42ヶ月分） ※経験・年齢・前職の給与などを…",初年度年収:350万円～450万円
84,ペットリファインテクノロジー株式会社 | 【日本環境設計グループ★世界に誇る特許技術を保有】,仕事内容:【大手飲料メーカー向けにPET樹脂製品の営業をお任せ／あらゆるものが循環するサステナブルな社会を目指し、SDGs事業を展開しています】,対象となる方:≪応募条件≫ 高卒以上。商社や素材メーカーなどでの営業経験のある方,勤務地:本社 神奈川県川崎市川崎区扇町12-2,"給与:＜月給＞ 375,000円〜541,600円 ※上記月給には、固定残業手当（5万494円以上／20時間分）を含みます。 …",初年度年収:450万円～650万円
85,ペットリファインテクノロジー株式会社 | 【日本環境設計グループ★世界に誇る特許技術を保有】,仕事内容:【未経験歓迎】工場における労働安全や渉外業務をご担当いただきます。消防や市役所等、届出関係に関するご経験がある方は大歓迎です！,対象となる方:≪応募条件≫ Word、Excel、PowerPointなどの操作スキルをお持ちの方/組織内でのコミュニケーションが円滑に取れる方,勤務地:本社 神奈川県川崎市川崎区扇町12-2,"給与:＜月給＞ 289,000円〜362,000円 ※経験・年齢・スキルを考慮のうえ、決定します ※試用期間3ヶ月あり。…",初年度年収:500万円～550万円
86,ペットリファインテクノロジー株式会社 | 【日本環境設計グループ★世界に誇る特許技術を保有】,仕事内容:【業務未経験歓迎】当社独自の樹脂原料となる使用済みPETの調達のための営業活動をお任せ！完全週休二日制(土日祝)・年間休日124日,対象となる方:≪応募条件≫ 高卒、高専卒以上。商社や素材メーカーなどでの営業経験のある方,勤務地:本社 神奈川県川崎市川崎区扇町12-2,"給与:＜月給＞ 375,000円〜541,600円 ※経験・年齢・スキルを考慮のうえ、決定します ※試用期間3ヶ月あり。…",初年度年収:450万円～650万円
87,ペットリファインテクノロジー株式会社 | 【日本環境設計グループ★世界に誇る特許技術を保有】,仕事内容:当リサイクル工場において製造されるポリエステルペレットの品質保証のための各種検査業務をリーダー候補としてお任せいたします。,対象となる方:≪応募条件≫ 大学院、大学卒以上。分析・検査業務に携わった経験のある方/ポリエステル等高分子化合物に関する知見・経験をお持ちの方,勤務地:本社 神奈川県川崎市川崎区扇町12-2,"給与:＜月給＞ 289,000円〜362,000円 ※経験・年齢・スキルを考慮のうえ、決定します ※試用期間3ヶ月あり。…",初年度年収:400万円～500万円
88,株式会社シマセイ | 創業58年。100社以上のメーカー製品を取扱う精密機器の専門商社,仕事内容:【既存顧客へのルート営業が中心】科学分野で扱う精密機器を、企業の研究室や技術部門・生産ラインに販売します。 ★9割以上の先輩が未経験スタート！,対象となる方:【未経験・第2新卒歓迎】◆基本的なPCスキル（Word・Excel）◆普通運転免許（AT限定可） ★土日休み・年間休日129日(昨年実績）など、働きやすさも◎,勤務地:★転勤はありません 【つくば営業所】 茨城県つくば市花畑3-20-2,給与:月給21.7万円以上 ※上記金額には、みなし残業代（22時間分／3万8100円）を含みます。 　22時間を超過分…,初年度年収:300万円～350万円
89,株式会社横浜岡田屋 | 賞与4.5ヵ月/出産祝い金1子につき最大30万円/最大9連休取得可能,仕事内容:【横浜MORE'Sなど有名施設の管理を担当！】設備の点検、工事の手配や、リニューアルに伴う内装監理などをお任せします。★資格取得支援制度あり,対象となる方:【年齢・学歴一切不問！】商業施設やオフィスビルの「施設管理」又は「内装監理」の実務経験があればOK！地域に根差して長く働きたい方は大歓迎！,勤務地:【神奈川県内6拠点で募集！】 本部 横浜市西区みなとみらい2-3-5　クイーンズタワーC棟11階…,"給与:月給21万2,000円〜 + 賞与年2回（4.5ヵ月分） + 交通費全額支給 + 諸手当 ※経験・年齢・スキル等を考慮…",初年度年収:400万円～550万円
90,三菱化工機株式会社 | 【東証一部上場】年間休日128日／残業月10時間,仕事内容:水素製造装置、水素ステーションの点検、工事業務の取りまとめ（工事の見積、資材の手配、現地での指示、コスト管理、技術的な対応等）をお任せします,対象となる方:【1～3いずれかの経験】1.ガス会社の設備保全また設計業務 2.機械設備（コンプレッサーなど）における保守経験 3.化学系メーカーでの工場設備保全業務,勤務地:本社 神奈川県川崎市川崎区大川町2-1,"給与:月給265,000円〜400,000円 ※社内規定、経験、能力等考慮し決定致します。 ※試用期間は6カ月（待遇に変…",初年度年収:330万円～570万円
91,正宗産業株式会社 | まもなく設立50周年／残業月15h／建築・不動産を事業展開,仕事内容:【週休2日制／年末年始は7連休】川崎市内を中心とした公共工事の建築施工管理をお任せ。手掛ける建造物は、学校・病院・庁舎など。,対象となる方:【年齢不問】◎1級建築施工管理技士の資格をお持ちの方/普通自動車免許をお持ちの方 ◆公共建築工事の経験が1年以上ある方は歓迎します！,勤務地:【マイカー通勤可】 【転勤なし】 【現場への直行直帰も可能】 神奈川県川崎市川崎区大島5-8-13…,給与:月給40万円〜60万円 ※経験・能力を考慮し、当社規定により決定します。 ※試用期間3ヵ月(期間中は月給30…,初年度年収:560万円～800万円
